This file is an ordered list of 16bit choices for a miller-rabin base to use in
conjunction with bases 2 and 15, for doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
three of the following bases: base[0]=2, base[1]=15, and
base[2]=the_listed_base_number.
The first 1000 sorted (best) 16bit choices are shown, rather than all 65536.

total pseudoprimes   base number
104340  44582
104340  30959
104340  9204
104340  17021
104341  38680
104341  11550
104341  58164
104342  14292
104344  53655
104344  63203
104344  4652
104344  34272
104345  39110
104345  36812
104346  17818
104347  36495
104347  952
104347  53343
104347  62814
104348  46200
104349  19092
104349  14541
104349  4239
104349  56707
104350  21679
104350  4313
104351  16956
104351  45342
104351  40752
104351  16632
104351  21433
104353  9203
104353  16354
104353  9506
104353  21658
104354  15232
104354  57184
104354  3573
104355  51557
104355  63585
104355  36026
104355  1163
104355  26415
104356  38024
104356  2547
104356  25039
104356  57168
104357  62466
104357  4158
104357  51151
