This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
10893  13256  21853
10893  13312  27301
10893  13312  37362
10893  13312  43152
10893  13312  54500
10893  13312  59680
10893  13357  18772
10893  13357  28717
10893  14157  28860
10893  14920  46800
10893  15028  19793
10893  15028  38467
10893  15028  61795
10893  15665  22932
10893  15925  32269
10893  16317  42237
10893  17292  37908
10893  18068  46800
10893  18300  27508
10893  18772  27524
10893  18772  58201
10893  19223  56628
10893  19500  56277
10893  19710  27508
10893  19773  23976
10893  19773  62782
10893  19793  60112
10893  21178  54925
10893  21244  53248
10893  22374  40768
10893  23099  53248
10893  23125  36517
10893  24037  50352
10893  24037  51820
10893  24050  63700
10893  25168  27195
10893  25693  65533
10893  25776  53248
10893  26160  42237
10893  27341  40768
10893  27508  49080
10893  27508  50710
10893  27750  49972
10893  28416  40768
10893  28420  54925
10893  30784  56628
10893  32580  65533
10893  32881  60112
10893  33519  63700
10893  33705  43732
10893  33823  43732
10893  34498  40768
10893  35966  49972
10893  37000  48373
10893  37888  58357
10893  37908  38465
10893  37908  53946
10893  37908  54801
10893  37908  56066
10893  40071  63700
10893  40768  41625
10893  41568  51597
10893  42564  60112
10893  44347  45253
10893  45253  62030
10893  46800  55465
10893  46800  57339
10893  49050  49972
10893  53946  63700
10893  54925  58685
10893  54925  63941
10893  54994  58357
10894  13     3933
10894  13     27301
10894  52     2697
10894  52     10818
10894  52     25036
10894  52     27301
10894  52     47997
10894  111    2548
10894  117    28820
10894  208    29542
10894  208    62928
10894  348    45253
10894  444    637
10894  555    4875
10894  555    43732
10894  637    7104
10894  637    16447
10894  637    56331
10894  637    56692
10894  637    59512
10894  832    2697
10894  832    25036
10894  832    55490
10894  832    64110
10894  925    16848
10894  1053   5837
10894  1300   7400
10894  1300   46242
10894  1300   58201
10894  1748   2925
10894  1872   35132
10894  2548   4239
10894  2548   28416
10894  2548   32316
10894  2697   13312
10894  2925   5311
10894  2925   6992
10894  2925   27968
10894  2925   44301
10894  2925   62928
10894  3138   33813
10894  3328   3933
10894  3328   27301
10894  3730   13312
10894  3757   10455
10894  3757   10641
10894  3757   23569
10894  3757   32881
10894  3757   42564
10894  3757   49381
10894  4212   58233
10894  4212   59200
10894  4239   40768
10894  5117   58357
10894  5200   45050
10894  5200   58201
10894  5233   10933
10894  5394   20800
10894  5733   27471
10894  5733   55948
10894  5733   61238
10894  5878   40768
10894  6206   9477
10894  6540   43732
10894  6588   25168
10894  6877   20195
10894  6877   62530
10894  7205   12493
10894  7293   15925
10894  7400   20800
10894  7696   56628
10894  7756   8125
10894  8125   11956
10894  8125   18953
10894  8125   22547
10894  8125   47824
10894  8325   25168
10894  8991   51597
10894  9477   11988
10894  9477   12560
10894  9477   31227
10894  9477   43368
10894  9807   21853
10894  9859   48373
10894  10192  34498
10894  10192  53129
10894  10192  56331
10894  10192  56692
10894  10192  59512
10894  10818  11700
10894  10933  58151
10894  10943  15925
10894  11700  25524
10894  11700  26571
10894  11700  46368
10894  12270  27508
10894  12493  15085
10894  12493  28943
10894  12493  34408
10894  12493  55657
10894  12552  33813
10894  13312  25036
10894  13312  47997
10894  14133  65533
10894  15028  36236
10894  15739  15925
10894  15795  26973
10894  15925  20609
10894  15925  24050
10894  15925  38367
10894  17629  45253
10894  17797  48142
10894  17908  46800
10894  18772  51104
10894  19573  45253
10894  19984  28717
10894  21019  37908
10894  21853  35120
10894  23068  49972
10894  23569  60112
10894  24037  41493
10894  24037  42772
10894  24975  40768
10894  25168  33300
10894  25522  37908
10894  26160  43732
10894  26538  63700
10894  27195  48373
10894  27314  49972
10894  27508  39655
10894  27508  42223
10894  28820  29952
10894  28860  56628
10894  29444  58357
10894  29542  53248
10894  32371  49972
10894  32500  47824
10894  33813  54630
10894  35258  43732
10894  35834  51597
10894  35964  51597
10894  36517  39349
10894  36517  39487
10894  36517  42209
10894  36517  60901
10894  36665  43732
10894  37340  63700
10894  37908  40106
10894  37908  47952
10894  37908  58299
10894  40696  49972
10894  40768  44955
10894  41066  60112
10894  42237  65268
10894  43732  50981
10894  44301  46800
10894  44874  46800
10894  46800  59680
10894  46800  62928
10894  47171  63700
10894  49972  51301
10894  49972  53475
10894  53248  62928
10894  54127  63700
10894  54925  64656
10894  56474  60112
10894  58016  61893
10894  58357  58971
10894  58357  59691
10894  63547  65533
10895  13     87
10895  13     22272
10895  13     62928
10895  13     64593
10895  52     87
10895  52     14308
10895  52     22272
10895  52     38611
10895  52     53367
10895  87     3328
10895  87     13312
10895  117    35132
10895  208    19739
10895  208    62558
10895  208    64593
10895  325    45050
10895  437    2925
10895  468    35132
10895  637    1776
10895  637    11756
10895  637    14878
10895  637    22875
10895  637    27341
10895  637    52271
10895  637    53951
10895  779    33813
10895  785    9477
10895  832    8175
10895  832    14308
10895  832    27301
10895  832    31407
10895  832    53367
10895  1095   36517
10895  1249   28717
10895  1300   5394
10895  1300   8954
10895  1300   24824
10895  1635   42237
10895  1635   43732
10895  1872   28820
10895  1872   47543
10895  2220   11700
10895  2220   46800
10895  2368   6292
10895  2548   5878
10895  2548   22374
10895  2548   24975
10895  2548   53941
10895  2598   51597
10895  2925   14920
10895  2925   33930
10895  2925   52446
10895  2925   53142
10895  2925   54369
10895  2989   8125
10895  2989   32500
10895  3194   18772
10895  3328   22272
10895  3328   62928
10895  3328   64593
10895  3730   46800
10895  4212   5837
10895  4212   24014
10895  4212   46396
10895  4329   51597
10895  4529   8125
10895  4693   13357
10895  4693   20141
10895  4693   27524
10895  5200   27750
10895  5733   5870
10895  5733   8784
10895  5733   23680
10895  5733   47978
10895  6090   63700
10895  6253   58357
10895  6292   47952
10895  6540   42237
10895  6814   6877
10895  6814   27508
10895  6877   18300
10895  7215   8125
10895  7361   58357
10895  7756   32500
10895  8125   12426
10895  8131   9477
10895  9325   9477
10895  9335   15925
10895  9477   24975
10895  9477   25522
10895  9477   37554
10895  9477   40106
10895  9477   62572
10895  10192  14878
10895  10192  37886
10895  10192  52271
10895  10455  60112
10895  10604  12493
10895  10818  13312
10895  11592  11700
10895  11700  26175
10895  11700  33930
10895  11700  35520
10895  11700  37362
10895  11700  62558
10895  11956  32500
10895  11988  25168
10895  12480  13431
10895  12480  53724
10895  12493  42897
10895  12493  43277
10895  12493  60119
10895  12588  24037
10895  13312  14308
10895  13312  22272
10895  13312  38611
10895  13312  53367
10895  13875  32500
10895  14157  16317
10895  14157  48924
10895  14430  26325
10895  14800  16848
10895  15028  41066
10895  15028  49381
10895  15925  19534
10895  15925  24044
10895  15925  29172
10895  15925  65409
10895  16848  17629
10895  16855  19773
10895  17131  36517
10895  17131  37908
10895  18163  36517
10895  19739  46800
10895  19773  35782
10895  20195  27508
10895  20800  24824
10895  20800  46242
10895  21321  37908
10895  21779  63700
10895  21853  24855
10895  22932  35964
10895  22932  50664
10895  24037  26805
10895  24037  40139
10895  24037  53367
10895  24995  27508
10895  25154  49972
10895  25168  26352
10895  27508  44469
10895  27508  51339
10895  27846  37908
10895  28717  46597
10895  29952  35132
10895  31407  63700
10895  31443  40768
10895  32845  54925
10895  33813  50208
10895  33930  46800
10895  35520  46800
10895  37554  37908
10895  37908  43514
10895  37908  44689
10895  37908  54375
10895  39528  43732
10895  40768  53941
10895  43732  49995
10895  46800  52698
10895  46800  53142
10895  47278  48373
10895  47278  61893
10895  53248  62558
10895  53248  64593
10895  53946  65533
10895  59469  63700
10896  13     348
10896  13     10818
10896  13     19739
10896  13     21244
10896  13     28820
10896  13     29542
10896  13     42244
10896  13     43470
10896  52     348
10896  52     8175
10896  52     34824
10896  52     53569
10896  52     64110
10896  87     208
10896  87     53248
10896  111    637
10896  117    53428
10896  208    10818
10896  208    22272
10896  208    35513
10896  208    43470
10896  325    58201
10896  348    3328
10896  348    13312
10896  444    10192
10896  481    56628
10896  555    2925
10896  555    11700
10896  555    46800
10896  637    16796
10896  637    16956
10896  637    28416
10896  637    58719
10896  780    13431
10896  780    53724
10896  832    12530
10896  832    50120
10896  832    62558
10896  832    64593
10896  962    1872
10896  1053   6259
10896  1573   6588
10896  1573   8325
10896  1573   11988
10896  1647   25168
10896  1872   53428
10896  2196   5733
10896  2220   2925
10896  2220   43732
10896  2548   31443
10896  2548   35816
10896  2723   26325
10896  2925   3730
10896  2925   18650
10896  2925   19739
10896  2925   35520
10896  2925   59680
10896  2989   63700
10896  2997   25168
10896  2997   37908
10896  3140   9477
10896  3328   10818
10896  3328   19739
10896  3328   21244
10896  3328   28820
10896  3328   29542
10896  3328   42244
10896  3328   43470
10896  3626   61893
10896  3757   9503
10896  3757   43683
10896  3757   56474
10896  4529   32500
10896  5311   46800
10896  5733   13987
10896  5978   17797
10896  6011   63700
10896  6090   15925
10896  6292   64260
10896  6392   15925
10896  6877   16317
10896  6877   27256
10896  6877   44469
10896  7104   10192
10896  7215   12493
10896  7381   26325
10896  8175   13312
10896  8325   65533
10896  8658   10192
10896  9477   10788
10896  9477   21321
10896  9477   30050
10896  9477   53774
10896  9477   56295
10896  9503   60112
10896  10192  16447
10896  10192  16796
10896  10192  16956
10896  10192  53941
10896  10192  58719
10896  10309  21853
10896  10818  53248
10896  10842  37908
10896  10933  19980
10896  10933  45750
10896  10933  46467
10896  11700  15732
10896  11700  17096
10896  11700  38611
10896  11700  44301
10896  11700  45061
10896  11700  57339
10896  12464  33813
10896  12493  21604
10896  12493  28820
10896  12493  36122
10896  12493  41816
10896  13312  64110
10896  14157  65268
10896  15028  23569
10896  15028  51314
10896  15493  24037
10896  15761  19773
10896  15925  42573
10896  16848  19651
10896  17520  36517
10896  17797  33705
10896  18650  46800
10896  18759  58357
10896  19739  53248
10896  19773  47138
10896  19773  59882
10896  19773  64148
10896  21853  33007
10896  21853  39228
10896  21853  40783
10896  22272  53248
10896  22932  30616
10896  23512  40768
10896  24037  25069
10896  24037  38367
10896  24037  63585
10896  24360  63700
10896  25376  36517
10896  26325  29524
10896  28717  48951
10896  29952  53428
10896  31080  36517
10896  32269  63700
10896  32316  40768
10896  32500  55500
10896  32500  61489
10896  32580  43732
10896  33813  34438
10896  33813  51686
10896  35258  54925
10896  35513  53248
10896  36122  49972
10896  36260  56355
10896  36436  54925
10896  36517  53946
10896  37908  45498
10896  37908  50997
10896  37908  52533
10896  37908  53569
10896  39633  54925
10896  42237  59099
10896  43470  53248
10896  43732  61044
10896  44955  51597
10896  45253  59229
10896  46800  52446
10896  46800  54369
10896  47545  63700
10896  47824  63700
10896  49381  60112
10896  49972  54997
10896  49972  60119
10896  51597  56717
10896  53248  54500
10896  56355  61243
10896  59200  65533
10896  59691  65533
10896  65060  65533
10897  13     1611
10897  13     5568
10897  52     2686
10897  52     5568
10897  52     14771
10897  52     31407
10897  52     33930
10897  52     42244
10897  52     64593
10897  117    13357
10897  117    16194
10897  117    47543
10897  148    6292
10897  208    348
10897  208    8175
10897  208    27301
10897  208    42244
10897  208    54500
10897  325    8954
10897  348    53248
10897  468    27141
10897  468    47543
10897  637    38961
10897  832    14703
10897  832    21244
10897  832    26607
10897  832    32700
10897  832    60736
10897  925    37908
10897  925    65533
10897  1332   26325
10897  1480   10933
10897  1573   2997
10897  1573   26352
10897  1573   33300
10897  1598   15925
10897  1611   3328
10897  1776   10192
10897  1872   13357
10897  1872   15392
10897  1872   16194
10897  1872   41905
10897  2355   45253
10897  2548   23512
10897  2548   27341
10897  2548   52271
10897  2548   59512
10897  2686   13312
10897  2697   2925
10897  2697   46800
10897  2898   11700
10897  2925   4477
10897  2925   8880
10897  2925   43152
10897  2997   48373
10897  3328   5568
10897  3606   9477
10897  3757   17246
10897  3757   43589
10897  3757   47751
10897  3757   61795
10897  3933   11700
10897  5568   13312
10897  5639   10192
10897  5733   34632
10897  5733   50959
10897  5837   16848
10897  5978   63700
10897  6292   34622
10897  6292   37888
10897  6819   27508
10897  6877   19573
10897  6877   42223
10897  7488   35132
10897  7654   22932
10897  8125   18116
10897  8125   42338
10897  8175   53248
10897  8880   11700
10897  8880   43732
10897  8880   46800
10897  9477   15643
10897  9477   32269
10897  9477   47019
10897  9639   12493
10897  10192  27341
10897  10192  38961
10897  10192  53951
10897  10392  49972
10897  10788  37908
10897  10933  13725
10897  10933  20932
10897  10933  23680
10897  10933  61044
10897  11206  51597
10897  11700  17908
10897  11700  39349
10897  11700  40115
10897  12480  25036
10897  12493  34335
10897  12493  53280
10897  12493  53475
10897  13189  28717
10897  13312  31407
10897  13312  33930
10897  13312  34824
10897  13312  42244
10897  13312  53569
10897  13312  64593
10897  13357  29952
10897  14703  46800
10897  14771  19773
10897  14800  37908
10897  14800  65533
10897  15028  38690
10897  15028  56474
10897  15925  24609
10897  15925  59469
10897  16194  29952
10897  16317  56628
10897  16447  40768
10897  16642  22932
10897  17246  60112
10897  17797  23912
10897  17982  49972
10897  18116  32500
10897  18772  20141
10897  18772  43305
10897  19534  63700
10897  19773  23426
10897  19773  39960
10897  21312  26325
10897  21853  41121
10897  21853  50173
10897  22233  54925
10897  22932  56071
10897  24037  54410
10897  25776  46800
10897  26325  57720
10897  26901  28717
10897  26901  36517
10897  27195  56628
10897  27301  53248
10897  27404  36517
10897  27750  48373
10897  29011  45253
10897  29345  49972
10897  29553  58357
10897  29952  47543
10897  30585  58357
10897  31117  39325
10897  31213  35171
10897  31265  61893
10897  32500  41886
10897  32524  37908
10897  33813  35828
10897  33813  37390
10897  35816  40768
10897  36436  63700
10897  36517  37435
10897  37128  43732
10897  38125  51597
10897  40768  47024
10897  40768  59512
10897  42237  65526
10897  42244  53248
10897  43152  46800
10897  43272  46800
10897  43683  60112
10897  43732  45750
10897  43732  50078
10897  44824  51597
10897  45253  58690
10897  48373  58233
10897  51597  52756
10897  55500  58357
10897  60125  65533
10897  62956  63700
10898  13     31407
10898  13     37362
10898  13     54500
10898  52     25524
10898  52     26607
10898  52     32700
10898  52     35513
10898  111    10192
10898  111    45253
10898  117    962
10898  117    41905
10898  208    5568
10898  208    28820
10898  208    37362
10898  296    19773
10898  555    48373
10898  627    21853
10898  637    8658
10898  637    24975
10898  637    32867
10898  832    13317
10898  832    25524
10898  832    35513
10898  832    42244
10898  832    53569
10898  925    31213
10898  962    29952
10898  1053   3700
10898  1053   22021
10898  1053   24014
10898  1573   1647
10898  1573   17908
10898  1586   36517
10898  1635   45253
10898  1776   45253
10898  2548   16447
10898  2548   45515
10898  2548   47024
10898  2548   56692
10898  2925   10788
10898  2925   13625
10898  2925   14703
10898  2925   43272
10898  3328   31407
10898  3328   37362
10898  3328   54500
10898  3606   37908
10898  3757   16306
10898  3757   21718
10898  3757   38012
10898  3848   6292
10898  4212   19651
10898  4477   6292
10898  4477   25168
10898  5200   8954
10898  5568   53248
10898  5733   8991
10898  5733   17818
10898  5733   35964
10898  5870   22932
10898  6259   12480
10898  6259   16848
10898  6292   15392
10898  6877   39655
10898  7215   14157
10898  7293   63700
10898  7488   16194
10898  7488   27141
10898  8125   51503
10898  8125   53654
10898  8688   43732
10898  8880   48373
10898  8880   54925
10898  9015   9477
10898  9477   21019
10898  9477   24824
10898  9477   32524
10898  9477   43152
10898  9477   44689
10898  9477   51229
10898  9477   58384
10898  9477   62177
10898  9477   62821
10898  9503   15028
10898  9855   36517
10898  10192  22556
10898  10192  24906
10898  10192  28416
10898  10192  34126
10898  10192  48025
10898  10392  51597
10898  10455  15028
10898  10788  46800
10898  10933  35258
10898  10933  50981
10898  11700  21244
10898  11700  25776
10898  11700  26862
10898  11700  27119
10898  11700  30097
10898  11700  62928
10898  12231  14157
10898  12493  25154
10898  12493  28860
10898  12493  32829
10898  13312  14771
10898  13312  25524
10898  13312  32700
10898  13312  35513
10898  13625  46800
10898  14390  21853
10898  14762  24037
10898  15028  17246
10898  15028  44001
10898  15739  63700
10898  15795  34067
10898  15925  24360
10898  15925  25568
10898  15925  43772
10898  15925  62170
10898  16796  40768
10898  17797  20710
10898  17890  65533
10898  17908  25168
10898  19575  46800
10898  19773  22950
10898  20609  63700
10898  21272  65533
10898  21853  29600
10898  21853  62590
10898  22932  57631
10898  23569  24037
10898  23912  63700
10898  24509  37908
10898  24623  36517
10898  25012  58357
10898  25053  37908
10898  25168  47952
10898  26160  45253
10898  26325  43568
10898  26491  40768
10898  27256  27508
10898  28416  45253
10898  28420  56628
10898  28820  53248
10898  28860  32500
10898  29172  63700
10898  29952  41905
10898  31227  37908
10898  32500  42338
10898  33115  65533
10898  34067  63180
10898  34335  49972
10898  34632  39325
10898  35803  43732
10898  36517  38367
10898  37908  40906
10898  37908  50240
10898  37908  62821
10898  38012  60112
10898  39436  48373
10898  40768  45515
10898  40768  53951
10898  41905  54925
10898  43626  65533
10898  47751  60112
10898  48373  48543
10898  56628  65268
10898  58560  61893
10898  60112  61795
10898  63700  65409
10899  13     8175
10899  13     27195
10899  13     38611
10899  13     64110
10899  52     6381
10899  52     12530
10899  52     13317
10899  52     21244
10899  52     50120
10899  52     60736
10899  61     43732
10899  117    15392
10899  117    64776
10899  208    1611
10899  208    14920
10899  208    25036
10899  208    31407
10899  208    32700
10899  325    7400
10899  468    8783
10899  468    16194
10899  555    54925
10899  592    6292
10899  637    4199
10899  637    15101
10899  637    28460
10899  637    39132
10899  637    48025
10899  780    64280
10899  832    949
10899  832    2686
10899  832    3796
10899  832    6381
10899  832    18650
10899  832    34824
10899  962    6292
10899  962    25168
10899  999    48373
10899  1053   46396
10899  1300   1850
10899  1300   1924
10899  1300   29600
10899  1300   30784
10899  1446   19773
10899  1573   4477
10899  1573   14376
10899  1573   47952
10899  1573   64260
10899  1611   53248
10899  1776   28717
10899  1850   20800
10899  1850   21853
10899  1872   8783
10899  1872   64776
10899  1924   20800
10899  2220   54925
10899  2548   15101
10899  2548   16796
10899  2548   42772
10899  2548   53951
10899  2552   36517
10899  2697   9477
10899  2925   17096
10899  2925   19575
10899  2925   25776
10899  2925   27119
10899  2925   27301
10899  2939   40768
10899  3140   15925
10899  3328   8175
10899  3328   27195
10899  3328   38611
10899  3328   64110
10899  3337   19773
10899  3649   9477
10899  3660   61893
10899  3700   37908
10899  3757   14765
10899  3757   24822
10899  3757   38895
10899  3757   44001
10899  3757   59060
10899  4199   10192
10899  4212   17629
10899  4329   9477
10899  4477   46800
10899  4736   19773
10899  5200   6206
10899  5327   60112
10899  5733   35615
10899  6292   16065
10899  6344   36517
10899  6381   13312
10899  6851   36517
10899  6877   49080
10899  6877   51339
10899  6992   11700
10899  7104   28717
10899  7215   49972
10899  7215   56628
10899  7488   47543
10899  8780   21853
10899  8961   24037
10899  9015   37908
10899  9065   56355
10899  9109   54925
10899  9325   37908
10899  9477   29853
10899  9477   32231
10899  9477   33287
10899  9477   45498
10899  9477   47952
10899  9477   48634
10899  9477   57696
10899  9555   13431
10899  9882   10933
10899  10174  49972
10899  10454  12493
10899  10933  33823
10899  10933  35803
10899  11700  46242
10899  11988  48373
10899  12493  32371
10899  12493  46390
10899  12493  49050
10899  12493  50485
10899  12530  13312
10899  13312  13317
10899  13312  21244
10899  13312  26607
10899  13312  50120
10899  13312  60736
10899  13431  21853
10899  14157  19223
10899  14703  45253
10899  14765  60112
10899  14920  53248
10899  15028  21718
10899  15028  26577
10899  15028  42091
10899  15028  43589
10899  15028  62090
10899  15101  40768
10899  15392  25168
10899  15392  29952
10899  15616  43732
10899  15925  22997
10899  15925  31869
10899  15925  38036
10899  15925  38556
10899  15984  48373
10899  16037  19773
10899  16848  22021
10899  16848  24014
10899  16848  46396
10899  16848  49049
10899  17096  46800
10899  17316  54925
10899  17982  48373
10899  18772  63945
10899  19723  33813
10899  19773  35258
10899  19773  58998
10899  20312  33813
10899  20800  29600
10899  20800  30784
10899  21718  60112
10899  21853  37193
10899  21853  41236
10899  22932  50719
10899  23569  56628
10899  24037  37362
10899  24721  32500
10899  24906  40768
10899  24975  28717
10899  25036  53248
10899  25168  34622
10899  25943  49972
10899  27119  46800
10899  27508  65268
10899  27750  61893
10899  28717  52374
10899  28717  63177
10899  29941  37908
10899  29952  64776
10899  31213  62197
10899  31841  65533
10899  32231  37908
10899  32441  36517
10899  32500  42349
10899  32700  53248
10899  32708  63700
10899  33719  45253
10899  33813  35258
10899  33813  49137
10899  33813  56411
10899  35685  36517
10899  36517  46447
10899  36517  46518
10899  36517  51530
10899  37362  53248
10899  37680  45253
10899  37908  46236
10899  37908  53774
10899  37908  59200
10899  37908  62572
10899  38556  45253
10899  38893  61893
10899  40584  45253
10899  40768  52271
10899  42237  50959
10899  42237  53724
10899  43464  45253
10899  43589  60112
10899  44669  48373
10899  45253  58812
10899  47952  48373
10899  59060  60112
10899  59105  63700
10900  13     17891
10900  13     32700
10900  13     33930
10900  37     6292
10900  52     8706
10900  52     9307
10900  52     18650
10900  52     30097
10900  52     42976
10900  52     45061
10900  111    28717
10900  117    8783
10900  208    26607
10900  208    27195
10900  208    53367
10900  208    53569
10900  208    64110
10900  325    1924
10900  325    6206
10900  325    30784
10900  437    11700
10900  451    33813
10900  592    36517
10900  637    4239
10900  637    5639
10900  637    34126
10900  637    46527
10900  832    15184
10900  832    21665
10900  832    54369
10900  962    1573
10900  976    43732
10900  1053   49049
10900  1053   59200
10900  1300   7696
10900  1300   64148
10900  1573   15392
10900  1573   34622
10900  1748   11700
10900  1924   5200
10900  1924   18772
10900  2548   2939
10900  2548   8658
10900  2548   14878
10900  2548   22875
10900  2548   26491
10900  2548   37886
10900  2548   38961
10900  2548   58719
10900  2664   19773
10900  2925   26571
10900  2925   39349
10900  3328   17891
10900  3328   32700
10900  3328   33930
10900  3330   12493
10900  3757   59569
10900  3757   63660
10900  3848   25168
10900  4212   56717
10900  4239   10192
10900  4995   43732
10900  5200   30784
10900  5733   16642
10900  5733   56071
10900  5733   58329
10900  5784   19773
10900  6292   9472
10900  6292   17908
10900  6292   61568
10900  6308   28717
10900  6877   12270
10900  6877   48497
10900  6877   50710
10900  7216   33813
10900  7400   21853
10900  7488   64776
10900  7696   20800
10900  8125   28820
10900  8125   36682
10900  8145   43732
10900  8225   33813
10900  8783   29952
10900  9477   43514
10900  9503   24037
10900  9685   33813
10900  10192  11476
10900  10192  15101
10900  10192  24975
10900  10192  28460
10900  10192  32867
10900  10192  45515
10900  10892  26325
10900  10933  27046
10900  10943  63700
10900  11700  14703
10900  11700  14771
10900  11700  27968
10900  11700  42244
10900  11700  64110
10900  12038  19773
10900  12480  43643
10900  12493  17452
10900  12493  17982
10900  12493  52759
10900  13189  48373
10900  13312  18650
10900  13312  30097
10900  13312  42976
10900  13312  45061
10900  13875  58357
10900  14157  23569
10900  14800  31213
10900  14878  40768
10900  15028  20965
10900  15028  24822
10900  15028  56210
10900  15261  43732
10900  15925  23976
10900  15925  43154
10900  15925  43198
10900  15925  50240
10900  17629  32500
10900  17756  19773
10900  18341  51597
10900  18681  54925
10900  18772  30784
10900  19773  24852
10900  19773  31252
10900  19773  42624
10900  19773  49358
10900  19773  52732
10900  19773  63044
10900  20965  60112
10900  21308  60112
10900  22021  43732
10900  22932  55948
10900  24822  60112
10900  25074  54925
10900  25168  64260
10900  25376  65533
10900  26325  41905
10900  26571  46800
10900  26607  53248
10900  27010  37908
10900  27195  53248
10900  27301  46800
10900  27508  33233
10900  27508  45325
10900  28285  36517
10900  28416  28717
10900  31213  43132
10900  31407  53248
10900  31538  65533
10900  31649  36517
10900  31869  63700
10900  32500  36682
10900  32500  44582
10900  32500  51503
10900  32500  57849
10900  32829  49972
10900  32867  40768
10900  33287  37908
10900  33813  40284
10900  33813  49856
10900  35520  54925
10900  36505  49972
10900  36517  46449
10900  37908  43152
10900  37908  43368
10900  37908  57696
10900  38895  60112
10900  38961  40768
10900  39132  40768
10900  40768  42772
10900  41816  49972
10900  42237  61686
10900  42897  49972
10900  44001  60112
10900  45325  51597
10900  46390  49972
10900  46800  53774
10900  46800  58812
10900  49972  52759
10900  49972  53280
10900  51597  58435
10900  51597  64039
10900  53248  53367
10900  53248  53569
10900  53248  64110
10900  54925  58898
10900  55166  58357
10900  57096  61893
10900  59569  60112
10901  13     6444
10901  13     14920
10901  13     34824
10901  13     53367
10901  13     53569
10901  52     949
10901  52     3796
10901  52     6259
10901  52     10744
10901  52     17606
10901  52     21665
10901  52     23014
10901  52     54369
10901  52     59084
10901  74     19773
10901  208    3730
10901  208    33930
10901  208    34824
10901  208    59680
10901  325    25143
10901  333    26325
10901  370    5733
10901  444    28717
10901  468    53428
10901  468    64776
10901  481    1300
10901  481    18772
10901  481    20800
10901  545    2925
10901  545    46800
10901  637    7115
10901  637    11476
10901  637    22556
10901  637    24906
10901  637    35964
10901  637    45515
10901  780    16070
10901  780    43643
10901  832    898
10901  832    6259
10901  832    9307
10901  832    14368
10901  832    14771
10901  832    17606
10901  832    30097
10901  832    33122
10901  832    45061
10901  915    61893
10901  949    13312
10901  962    7488
10901  1184   19773
10901  1387   22932
10901  1573   3848
10901  1796   28080
10901  1804   33813
10901  2180   2925
10901  2548   24906
10901  2548   32867
10901  2548   60404
10901  2697   37908
10901  2925   8720
10901  2925   34880
10901  2925   56680
10901  2925   58812
10901  2997   9477
10901  3116   33813
10901  3270   8125
10901  3328   6444
10901  3328   14920
10901  3328   34824
10901  3328   53367
10901  3328   53569
10901  3700   16848
10901  3700   31213
10901  3730   53248
10901  3757   20533
10901  3757   20965
10901  3757   56210
10901  3757   65224
10901  3796   13312
10901  3996   48373
10901  4199   40768
10901  4212   49049
10901  4477   18772
10901  4773   17797
10901  5327   15028
10901  5328   26325
10901  5548   22932
10901  5550   22932
10901  5733   23480
10901  5733   57631
10901  6259   13312
10901  7488   8783
10901  7488   15392
10901  7696   18772
10901  7813   19773
10901  7993   8125
10901  8125   41886
10901  8125   44582
10901  8706   13312
10901  8720   46800
10901  9307   13312
10901  9420   45253
10901  9477   27846
10901  9477   34007
10901  9477   36853
10901  9477   46236
10901  9477   50240
10901  9477   52533
10901  9639   45253
10901  10146  45253
10901  10192  35964
10901  10192  39132
10901  10192  40284
10901  10392  12493
10901  10693  24037
10901  10744  13312
10901  10818  46800
10901  10933  15261
10901  10933  58621
10901  11700  17606
10901  11700  20533
10901  11700  46501
10901  11756  40768
10901  12200  65533
10901  12493  13320
10901  12493  27250
10901  12493  29345
10901  13183  19773
10901  13312  17606
10901  13312  21665
10901  13312  23014
10901  13312  54369
10901  13565  22932
10901  14376  25168
10901  15028  53280
10901  15925  52655
10901  15925  54406
10901  16470  21853
10901  17468  24037
10901  17797  35963
10901  18500  21853
10901  18944  19773
10901  19773  23136
10901  20800  64148
10901  21130  46800
10901  21853  53724
10901  21961  65533
10901  22192  22932
10901  22547  32500
10901  22875  40768
10901  22932  35520
10901  22932  58329
10901  23099  46800
10901  24037  63738
10901  24037  65021
10901  24044  63700
10901  26078  45253
10901  26325  53428
10901  26729  36517
10901  26771  54925
10901  26862  51597
10901  27508  45159
10901  28080  28736
10901  28717  54238
10901  28860  49972
10901  29970  33813
10901  32269  37908
10901  33930  53248
10901  34824  53248
10901  35520  48373
10901  36517  39420
10901  36517  40832
10901  36517  45045
10901  37886  40768
10901  37908  46242
10901  38367  63700
10901  40168  65533
10901  40768  59681
10901  40768  60404
10901  42237  51643
10901  45253  60058
10901  46800  53569
10901  46800  62558
10901  48373  63936
10901  49972  50789
10901  49972  55657
10901  53248  59680
10901  57982  65533
10901  60112  63125
10901  60112  63660
10902  13     555
10902  13     2220
10902  13     8706
10902  13     14703
10902  13     25036
10902  13     26607
10902  13     35520
10902  13     35782
10902  13     47997
10902  13     54369
