This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
10752  18759  63700
10752  19773  47952
10752  21853  47952
10752  26973  33813
10752  48800  49972
10752  51597  55500
10752  57720  65533
10753  208    4323
10753  468    59200
10753  481    48373
10753  962    28717
10753  2997   19773
10753  3050   49972
10753  4323   53248
10753  14430  65533
10753  17292  46800
10754  3700   33813
10754  4693   13431
10754  5733   31117
10754  13470  26325
10754  21312  54925
10754  21853  31117
10754  23125  28717
10754  26973  60112
10754  33813  59200
10755  832    4323
10755  1924   48373
10755  2925   17292
10755  4693   23125
10755  10693  48373
10755  13431  18772
10755  26973  48373
10755  30784  48373
10756  52     4323
10756  2997   15925
10756  4323   13312
10756  15925  47952
10757  3757   26973
10757  19573  54925
10757  19773  23125
10757  22875  49972
10757  57720  63700
10758  14430  63700
10758  15028  26973
10758  26325  53880
10758  32867  37908
10759  333    54925
10759  925    26325
10759  4477   58357
10759  5328   54925
10759  7696   15925
10759  12493  22875
10759  13431  28717
10759  14800  26325
10759  16317  56355
10759  27508  30784
10760  925    54925
10760  1924   27508
10760  9477   32867
10760  14430  27508
10760  19980  22932
10760  31117  49972
10760  37908  53428
10760  40293  49972
10761  2997   63700
10761  4323   11700
10761  9477   53428
10761  14800  54925
10761  19773  62197
10761  27508  57720
10761  47952  63700
10761  51597  57720
10762  481    15925
10762  481    27508
10762  637    13431
10762  637    19980
10762  4995   22932
10762  10693  28717
10762  11988  15925
10762  14430  51597
10762  17908  58357
10762  26973  51597
10762  31117  48373
10762  37908  62197
10763  3848   28717
10763  7696   27508
10763  11700  22021
10763  14430  24037
10763  15925  30784
10763  45253  47138
10764  1924   15925
10764  3700   26325
10764  3700   54925
10764  5733   19980
10764  10192  13431
10764  10192  19980
10764  10693  36517
10764  12493  31117
10764  28717  44955
10764  28717  61568
10765  637    53724
10765  925    24037
10765  4323   46800
10765  4995   5733
10765  7400   28717
10765  9477   62197
10765  26325  59200
10765  28717  42772
10765  54925  59200
10766  925    61893
10766  962    24037
10766  2925   22021
10766  4941   61893
10766  7696   63700
10766  8125   51301
10766  13357  37908
10766  13431  40768
10766  15392  24037
10766  22021  46800
10766  24037  57720
10766  28717  53724
10767  117    55500
10767  832    50314
10767  925    51597
10767  1850   28717
10767  1872   55500
10767  2548   13431
10767  2925   4323
10767  10192  53724
10767  14800  61893
10767  24037  59200
10767  28717  29600
10767  29952  55500
10767  38125  43732
10767  56355  65268
10768  333    22932
10768  1332   37908
10768  2548   19980
10768  3700   24037
10768  3848   24037
10768  9477   13357
10768  11988  63700
10768  14800  24037
10768  24037  61568
10768  44955  58357
10768  54925  56277
10769  52     50314
10769  481    63700
10769  1332   22932
10769  2925   50314
10769  12493  40293
10769  13312  50314
10769  17908  21853
10769  17908  42237
10769  19980  40768
10769  21312  37908
10769  21853  44955
10769  24037  62197
10769  30784  63700
10769  33813  62530
10769  40768  53724
10769  55500  61893
10770  333    5733
10770  1872   13470
10770  1924   63700
10770  2548   53724
10770  3700   61893
10770  7400   15925
10770  13431  27508
10770  15028  61243
10770  15925  58201
10770  31265  40768
10770  36517  42772
10770  46800  50314
10770  58201  63700
10770  59200  61893
10771  117    13470
10771  1332   5733
10771  2548   31265
10771  3700   51597
10771  3757   61243
10771  4477   6877
10771  5328   22932
10771  7488   13470
10771  11700  50314
10771  13470  29952
10771  60112  61243
10772  117    13875
10772  208    22021
10772  468    13470
10772  468    55500
10772  1872   13875
10772  1872   53880
10772  3757   25657
10772  4477   21853
10772  4477   42237
10772  7488   55500
10772  13431  49972
10772  13875  29952
10772  14800  51597
10772  21312  22932
10772  21853  40293
10772  22021  53248
10772  24037  55500
10772  25657  60112
10772  62197  65533
10773  117    53880
10773  325    32867
10773  637    31265
10773  1850   15925
10773  5200   32867
10773  5328   5733
10773  15925  29600
10773  15925  31265
10773  19764  61893
10773  29952  53880
10773  51597  59200
10773  53724  63700
10774  148    1300
10774  148    20800
10774  333    28717
10774  637    4995
10774  1300   32867
10774  1300   37888
10774  6877   17908
10774  7488   53880
10774  10192  31265
10774  10933  38125
10774  11100  22932
10774  13875  24037
10774  17908  24037
10774  20800  37888
10774  21853  31295
10774  31265  51597
10775  468    53880
10775  780    53078
10775  832    22021
10775  1300   2368
10775  1332   28717
10775  2368   20800
10775  4477   24037
10775  5328   28717
10775  5733   21312
10775  7488   13875
10775  8125   18634
10775  8325   19773
10775  12480  53078
10775  12493  13431
10775  15925  53724
10775  17908  28717
10775  31265  63700
10775  32500  51301
10776  208    50314
10776  468    13875
10776  1332   9477
10776  4995   10192
10776  19773  33300
10776  20800  32867
10776  21312  28717
10776  24037  28860
10776  24037  42011
10776  50314  53248
10777  13     22021
10777  13     50314
10777  52     22021
10777  148    325
10777  325    37888
10777  333    37908
10777  1924   6877
10777  2548   40293
10777  2775   22932
10777  3328   22021
10777  3328   50314
10777  4477   27508
10777  6877   14430
10777  6877   30784
10777  7400   63700
10777  9477   21312
10777  13312  22021
