This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
1301064  4655
1301075  64220
1301083  18620
1301090  5439
1301217  49368
1301246  12342
1301249  15895
1301266  17238
1301281  58719
1301284  6150
1301300  63580
1301354  24600
1301422  14600
1301443  18300
1301450  4575
1301475  64386
1301480  58400
1301485  3650
1301549  15400
1301612  380
1301627  1314
1301630  5256
1301631  6080
1301632  21024
1301647  41070
1301664  3850
1301669  95
1301669  24320
1301670  1520
1301696  61600
1301708  44982
1301716  476
1301722  7616
1301740  119
1301742  30464
1301748  41574
1301759  55470
1301762  1904
1301859  26775
1301883  50430
1301915  37180
1301940  59895
1301959  9295
1301973  183
1301974  46848
1302001  2928
1302022  19239
1302042  732
1302059  11712
1302074  616
1302081  2464
1302086  584
1302101  154
1302109  39424
1302115  9344
1302116  20280
1302128  9856
1302134  2336
1302143  37376
1302152  146
1302154  45630
1302161  6655
1302165  2375
1302191  38000
1302196  5070
1302198  9500
1302200  22143
1302214  4560
1302222  285
1302222  29478
1302237  23085
1302251  26620
1302276  1140
1302281  4998
1302284  56066
1302306  18240
1302326  19992
1302338  34375
1302365  34295
1302379  7154
1302381  28616
1302412  63750
1302469  52855
1302471  41895
1302491  18634
1302569  46255
1302570  42194
1302571  57399
1302656  49896
1302677  22896
1302696  1431
1302709  12474
1302710  10176
1302718  636
1302725  26352
1302725  26026
1302747  41040
1302749  1647
1302763  2565
1302766  5724
1302770  55594
1302771  159
1302772  2544
1302774  6588
1302776  40704
1302800  10260
1302829  4850
1302837  30927
1302860  36842
1302867  19400
1302868  42959
1302912  34485
1302938  64125
1302941  19855
1302951  58752
1302952  3672
1302956  24255
1302999  918
1302999  41175
1303007  52887
1303015  17666
1303038  14688
1303101  7791
1303116  31164
1303126  36822
1303131  5831
1303131  12375
1303133  13965
1303138  22950
1303142  55808
1303151  218
1303168  3488
1303171  49500
1303180  55860
1303183  45951
1303192  23324
1303204  13952
1303214  10200
1303216  872
1303220  26378
1303229  40800
1303246  2550
1303261  62951
1303268  8869
1303294  35476
1303317  48165
1303354  59375
1303365  24674
1303373  408
1303386  6528
1303399  102
1303414  2975
1303415  26112
1303425  11900
1303432  47600
1303433  1632
1303504  9639
1303534  52706
1303568  49050
1303601  38556
1303639  7546
1303646  57596
1303664  29095
1303668  17820
1303694  14399
1303704  30184
1303725  4455
1303749  28500
1303762  65341
1303772  53958
1303838  20111
1303840  1375
1303853  5500
1303863  7125
1303865  22000
1303930  15900
1303956  51516
1303968  63600
1303973  10780
1303983  1962
1303986  3975
1303990  2695
1304014  31392
1304018  43120
1304018  7848
1304020  35868
1304040  12879
1304073  27936
1304081  1746
1304101  32786
1304103  6984
1304137  220
1304145  3520
1304146  55
1304147  33048
1304154  880
1304154  14080
1304155  8967
1304158  56320
1304162  64614
1304187  23474
1304191  8262
1304256  34650
1304265  40095
1304329  52309
1304354  40725
1304448  44506
1304467  63002
1304474  17658
1304481  14823
1304487  10908
1304512  43632
1304516  2727
1304539  59292
1304559  12416
1304587  47304
1304599  194
1304606  49664
1304609  776
1304613  35775
1304617  3104
1304630  303
1304634  9506
1304641  4848
1304646  495
1304669  11826
1304670  7920
